No.	Functions	DeviceProperty Code / Command Id	Mode	ILX-LR1	ILCE-1M2	ILCE-1	ILCE-9M3	ILCE-9M2	ILCE-7RM5	ILCE-7RM4A	ILCE-7RM4	ILCE-7CR	ILCE-7SM3	ILCE-7M4	ILCE-7CM2	ILCE-7C	ILCE-6700	MPC-2610	ILME-FX6	ILME-FX2	ILME-FX3A	ILME-FX3	ILME-FX30	PXW-Z200	HXR-NX800	ZV-E1	ZV-E10M2	DSC-RX0M2	ILME-FR7	BRC-AM7
1	Shutter Half Release	:ref:`CrDeviceProperty_S1<dp-S1>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-
2	Shutter Release	:ref:`CrCommandId_Release<command-Release>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-
3	AELock Indication	:ref:`CrDeviceProperty_AEL<dp-AEL>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-
4	FEL Lock Indication	:ref:`CrDeviceProperty_FEL<dp-FEL>`	R/T	\-	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-	\-	✔	✔	\-	\-	\-
5	AWBLock Indication	:ref:`CrDeviceProperty_AWBL<dp-AWBL>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-
6	F-Number	:ref:`CrDeviceProperty_FNumber<dp-FNumber>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔
7	Exposure Bias Compensation	:ref:`CrDeviceProperty_ExposureBiasCompensation<dp-ExposureBiasCompensation>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	✔
8	Shutter Speed	:ref:`CrDeviceProperty_ShutterSpeed<dp-ShutterSpeed>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	\-	\-	✔	✔	✔	✔	\-	\-	✔	✔	✔	\-	\-
9	ISO Sensitivity	:ref:`CrDeviceProperty_IsoSensitivity<dp-IsoSensitivity>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔
10	Focus Area	:ref:`CrDeviceProperty_FocusArea<dp-FocusArea>`	R/T	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔	✔
